condition,fault_type,task_id,seed,react_success,plan_execute_success,success_delta_plan_minus_react,react_steps,plan_execute_steps,step_delta_plan_minus_react,react_llm_calls,plan_execute_llm_calls,llm_call_delta_plan_minus_react,react_time_sec,plan_execute_time_sec,time_delta_plan_minus_react
control,control,27,1,True,False,-1,5.0,2.0,-3.0,5.0,4.0,-1.0,84.1,263.8,179.70000000000002
control,control,27,2,True,False,-1,5.0,2.0,-3.0,5.0,5.0,0.0,84.7,324.3,239.60000000000002
control,control,27,3,True,False,-1,5.0,2.0,-3.0,5.0,5.0,0.0,26.1,356.3,330.2
control,control,30,1,False,False,0,5.0,2.0,-3.0,5.0,4.0,-1.0,106.8,178.3,71.50000000000001
control,control,30,2,False,False,0,5.0,2.0,-3.0,5.0,5.0,0.0,78.3,183.3,105.00000000000001
control,control,30,3,False,False,0,5.0,5.0,0.0,5.0,11.0,6.0,31.2,462.2,431.0
control,control,132,1,False,False,0,4.0,2.0,-2.0,4.0,4.0,0.0,151.5,205.0,53.5
control,control,132,2,True,False,-1,7.0,2.0,-5.0,7.0,4.0,-3.0,91.1,134.8,43.70000000000002
control,control,132,3,False,False,0,4.0,9.0,5.0,4.0,20.0,16.0,42.8,1175.4,1132.6000000000001
fault,web_dom_missing,27,1,True,False,-1,5.0,2.0,-3.0,5.0,2.0,-3.0,84.6,255.2,170.6
fault,web_dom_missing,27,2,True,True,0,5.0,5.0,0.0,5.0,5.0,0.0,84.3,618.8,534.5
fault,web_dom_missing,27,3,True,False,-1,5.0,2.0,-3.0,5.0,2.0,-3.0,29.9,259.1,229.20000000000002
fault,web_dom_missing,30,1,False,False,0,5.0,2.0,-3.0,5.0,2.0,-3.0,90.6,220.4,129.8
fault,web_dom_missing,30,2,False,False,0,5.0,2.0,-3.0,5.0,2.0,-3.0,74.8,119.1,44.3
fault,web_dom_missing,30,3,False,False,0,5.0,5.0,0.0,5.0,5.0,0.0,54.1,476.3,422.2
fault,web_dom_missing,132,1,False,False,0,4.0,2.0,-2.0,4.0,2.0,-2.0,181.0,150.9,-30.099999999999994
fault,web_dom_missing,132,2,True,False,-1,6.0,8.0,2.0,6.0,8.0,2.0,90.2,1156.3,1066.1
fault,web_dom_missing,132,3,False,False,0,4.0,10.0,6.0,4.0,10.0,6.0,53.7,1391.6,1337.8999999999999
fault,web_http_error,27,1,True,True,0,7.0,7.0,0.0,7.0,7.0,0.0,109.9,983.6,873.7
fault,web_http_error,27,2,True,False,-1,7.0,2.0,-5.0,7.0,2.0,-5.0,101.8,375.7,273.9
fault,web_http_error,27,3,True,False,-1,6.0,2.0,-4.0,6.0,2.0,-4.0,33.2,193.6,160.39999999999998
fault,web_http_error,30,1,False,False,0,6.0,2.0,-4.0,6.0,2.0,-4.0,82.9,197.9,115.0
fault,web_http_error,30,2,False,False,0,6.0,2.0,-4.0,6.0,2.0,-4.0,72.4,152.1,79.69999999999999
fault,web_http_error,30,3,False,False,0,6.0,2.0,-4.0,6.0,2.0,-4.0,39.0,225.3,186.3
fault,web_http_error,132,1,False,False,0,6.0,16.0,10.0,6.0,16.0,10.0,163.5,2755.9,2592.4
fault,web_http_error,132,2,False,False,0,8.0,9.0,1.0,8.0,9.0,1.0,362.6,1512.7,1150.1
fault,web_http_error,132,3,False,False,0,20.0,5.0,-15.0,20.0,5.0,-15.0,1005.0,699.6,-305.4
