architecture,condition,fault_type,task_id,seed,records,chosen_source,source_chain
plan_execute,control,control,27,1,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
plan_execute,control,control,30,3,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
plan_execute,control,control,132,3,2,/,/
plan_execute,fault,web_dom_missing,27,2,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
plan_execute,fault,web_http_error,27,1,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
plan_execute,fault,web_http_error,27,2,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
plan_execute,fault,web_http_error,132,1,2,/,/
react,control,control,22,1,5,/,/
react,control,control,22,2,5,/,/
react,control,control,22,3,6,rerun_missing_trials_v1,/;rerun_missing_trials_v1
react,control,control,22,4,6,rerun_missing_trials_v1,/;rerun_missing_trials_v1
react,control,control,22,5,6,/,/
react,control,control,24,1,6,/,/
react,control,control,24,2,6,/,/
react,control,control,24,3,6,/,/
react,control,control,24,4,6,/,/
react,control,control,24,5,6,/,/
react,control,control,27,1,7,/,/
react,control,control,27,2,6,/,/
react,control,control,27,3,7,/,/
react,control,control,27,4,6,/,/
react,control,control,27,5,6,/,/
react,control,control,28,1,6,/,/
react,control,control,28,2,6,/,/
react,control,control,28,3,6,/,/
react,control,control,28,4,6,/,/
react,control,control,28,5,6,/,/
react,control,control,30,1,7,/,/
react,control,control,30,2,7,/,/
react,control,control,30,3,7,/,/
react,control,control,30,4,6,rerun_missing_trials_v1,/;rerun_missing_trials_v1
react,control,control,30,5,6,/,/
react,control,control,132,1,7,/,/
react,control,control,132,2,7,/,/
react,control,control,132,3,7,/,/
react,control,control,132,4,6,/,/
react,control,control,132,5,6,/,/
react,control,control,133,1,5,/,/
react,control,control,133,2,5,/,/
react,control,control,133,3,6,/,/
react,control,control,133,4,6,rerun_missing_trials_v1,/;rerun_missing_trials_v1
react,control,control,133,5,6,/,/
react,control,control,134,1,5,/,/
react,control,control,134,2,5,/,/
react,control,control,134,3,6,/,/
react,control,control,134,4,6,/,/
react,control,control,134,5,6,/,/
react,fault,web_dom_missing,22,3,2,/,/
react,fault,web_dom_missing,22,4,2,/,/
react,fault,web_dom_missing,22,5,2,/,/
react,fault,web_dom_missing,24,1,2,/,/
react,fault,web_dom_missing,24,2,2,/,/
react,fault,web_dom_missing,24,3,2,/,/
react,fault,web_dom_missing,24,4,2,/,/
react,fault,web_dom_missing,24,5,2,/,/
react,fault,web_dom_missing,27,1,3,/,/
react,fault,web_dom_missing,27,2,3,/,/
react,fault,web_dom_missing,27,3,3,/,/
react,fault,web_dom_missing,27,5,2,/,/
react,fault,web_dom_missing,28,1,2,/,/
react,fault,web_dom_missing,28,3,2,/,/
react,fault,web_dom_missing,28,4,2,/,/
react,fault,web_dom_missing,30,1,3,/,/
react,fault,web_dom_missing,30,2,2,/,/
react,fault,web_dom_missing,30,3,3,/,/
react,fault,web_dom_missing,30,5,2,/,/
react,fault,web_dom_missing,132,1,3,/,/
react,fault,web_dom_missing,132,2,3,/,/
react,fault,web_dom_missing,132,3,3,/,/
react,fault,web_dom_missing,132,4,2,/,/
react,fault,web_dom_missing,133,3,2,/,/
react,fault,web_dom_missing,133,4,2,/,/
react,fault,web_dom_missing,133,5,2,/,/
react,fault,web_dom_missing,134,4,2,/,/
react,fault,web_dom_missing,134,5,2,/,/
react,fault,web_http_error,22,3,2,/,/
react,fault,web_http_error,22,4,2,/,/
react,fault,web_http_error,22,5,2,/,/
react,fault,web_http_error,24,1,2,/,/
react,fault,web_http_error,24,2,2,/,/
react,fault,web_http_error,24,4,2,/,/
react,fault,web_http_error,24,5,2,/,/
react,fault,web_http_error,27,1,2,/,/
react,fault,web_http_error,27,2,3,/,/
react,fault,web_http_error,27,3,3,/,/
react,fault,web_http_error,27,4,2,/,/
react,fault,web_http_error,27,5,2,/,/
react,fault,web_http_error,28,1,2,/,/
react,fault,web_http_error,28,2,2,/,/
react,fault,web_http_error,28,3,2,/,/
react,fault,web_http_error,28,4,2,/,/
react,fault,web_http_error,28,5,2,/,/
react,fault,web_http_error,30,1,2,/,/
react,fault,web_http_error,30,2,2,/,/
react,fault,web_http_error,30,3,3,/,/
react,fault,web_http_error,30,4,2,/,/
react,fault,web_http_error,30,5,2,/,/
react,fault,web_http_error,132,1,3,/,/
react,fault,web_http_error,132,2,3,/,/
react,fault,web_http_error,132,3,2,rerun_missing_trials_v1,/;rerun_missing_trials_v1
react,fault,web_http_error,133,1,2,/,/
react,fault,web_http_error,133,2,2,/,/
react,fault,web_http_error,134,2,2,/,/
react,fault,web_http_error,134,3,2,/,/
react,fault,web_http_error,134,4,2,/,/
react,fault,web_http_error,134,5,2,/,/
