fault_type,task_id,seed,control_official_success,fault_official_success,official_success_delta,control_completed,fault_completed,control_steps,fault_steps,step_delta,control_time_sec,fault_time_sec,time_delta,fault_count
agent_param_error,27,1,True,True,0,True,True,5.0,6.0,1.0,26.9,28.9,2.0,1
agent_param_error,27,2,True,True,0,True,True,5.0,6.0,1.0,29.2,30.3,1.1000000000000014,1
agent_param_error,27,3,True,True,0,True,True,5.0,6.0,1.0,27.4,53.3,25.9,1
agent_param_error,30,1,True,True,0,True,True,5.0,9.0,4.0,67.6,203.5,135.9,1
agent_param_error,30,2,True,True,0,True,True,5.0,6.0,1.0,62.7,57.4,-5.300000000000004,1
agent_param_error,30,3,True,True,0,True,True,6.0,7.0,1.0,156.2,125.2,-30.999999999999986,1
agent_param_error,132,1,True,True,0,True,True,4.0,9.0,5.0,39.2,93.4,54.2,1
agent_param_error,132,2,True,False,-1,True,True,4.0,5.0,1.0,92.9,49.3,-43.60000000000001,1
agent_param_error,132,3,True,True,0,True,True,4.0,8.0,4.0,86.0,107.8,21.799999999999997,1
web_dom_missing,27,1,True,True,0,True,True,6.0,5.0,-1.0,37.2,32.2,-5.0,1
web_dom_missing,27,2,True,True,0,True,True,5.0,5.0,0.0,30.6,24.7,-5.900000000000002,1
web_dom_missing,27,3,True,True,0,True,True,6.0,5.0,-1.0,37.5,26.4,-11.100000000000001,1
web_dom_missing,30,1,True,True,0,True,True,8.0,5.0,-3.0,144.4,91.8,-52.60000000000001,1
web_dom_missing,30,2,True,True,0,True,True,5.0,5.0,0.0,55.1,62.1,7.0,1
web_dom_missing,30,3,True,True,0,True,True,5.0,5.0,0.0,55.1,59.5,4.399999999999999,1
web_dom_missing,132,1,True,False,-1,True,True,3.0,9.0,6.0,103.9,94.9,-9.0,1
web_dom_missing,132,2,False,True,1,True,True,4.0,3.0,-1.0,73.9,46.8,-27.10000000000001,1
web_dom_missing,132,3,True,False,-1,True,True,4.0,4.0,0.0,91.2,107.2,16.0,1
web_http_error,27,1,True,True,0,True,True,6.0,7.0,1.0,33.3,44.1,10.800000000000004,1
web_http_error,27,2,True,True,0,True,True,6.0,7.0,1.0,33.5,46.9,13.399999999999999,1
web_http_error,27,3,True,True,0,True,True,5.0,6.0,1.0,29.0,40.4,11.399999999999999,1
web_http_error,30,1,True,True,0,True,True,5.0,8.0,3.0,119.7,144.4,24.700000000000003,1
web_http_error,30,2,True,True,0,True,True,5.0,9.0,4.0,56.7,87.8,31.099999999999994,1
web_http_error,30,3,True,True,0,True,True,8.0,6.0,-2.0,199.4,60.4,-139.0,1
web_http_error,132,1,True,False,-1,True,True,4.0,5.0,1.0,40.6,94.1,53.49999999999999,1
web_http_error,132,2,True,False,-1,True,True,4.0,6.0,2.0,55.9,122.6,66.69999999999999,1
web_http_error,132,3,False,False,0,True,True,7.0,6.0,-1.0,67.3,140.7,73.39999999999999,1
web_popup_block,27,1,True,True,0,True,True,5.0,5.0,0.0,27.6,48.4,20.799999999999997,1
web_popup_block,27,2,True,True,0,True,True,6.0,6.0,0.0,30.7,52.8,22.099999999999998,1
web_popup_block,27,3,True,True,0,True,True,5.0,5.0,0.0,33.4,25.0,-8.399999999999999,1
web_popup_block,30,1,True,True,0,True,True,8.0,5.0,-3.0,180.9,99.0,-81.9,1
web_popup_block,30,2,True,True,0,True,True,7.0,5.0,-2.0,133.3,74.2,-59.10000000000001,1
web_popup_block,30,3,True,True,0,True,True,6.0,5.0,-1.0,74.2,106.8,32.599999999999994,1
web_popup_block,132,1,True,True,0,True,True,3.0,4.0,1.0,57.7,73.6,15.899999999999991,1
web_popup_block,132,2,True,False,-1,True,True,4.0,4.0,0.0,72.0,54.1,-17.9,1
web_popup_block,132,3,False,True,1,True,True,4.0,3.0,-1.0,54.2,51.9,-2.3000000000000043,1
web_timeout,27,1,True,True,0,True,True,5.0,5.0,0.0,35.8,32.9,-2.8999999999999986,1
web_timeout,27,2,True,True,0,True,True,5.0,5.0,0.0,25.6,46.2,20.6,1
web_timeout,27,3,True,True,0,True,True,5.0,5.0,0.0,26.9,31.9,5.0,1
web_timeout,30,1,True,True,0,True,True,5.0,7.0,2.0,129.6,156.0,26.400000000000006,1
web_timeout,30,2,True,True,0,True,True,6.0,5.0,-1.0,52.7,47.7,-5.0,1
web_timeout,30,3,True,True,0,True,True,7.0,6.0,-1.0,115.0,151.9,36.900000000000006,1
web_timeout,132,1,False,False,0,True,True,3.0,6.0,3.0,44.7,54.2,9.5,1
web_timeout,132,2,True,False,-1,True,True,4.0,4.0,0.0,63.6,55.2,-8.399999999999999,1
web_timeout,132,3,True,True,0,True,True,3.0,4.0,1.0,32.6,46.5,13.899999999999999,1
