fault_type,task_id,seed,condition,evidence_source,fault_step,fault_layer,fault_seed,first_action_after_fault,first_action_after_fault_step,observation_after_fault,retry_executed,goto_fallback,tool_changed,plan_revised,stale_action_repeated,premature_stop,official_success,evaluator_status,recovered,behavior_labels,injection_count,source_status,source_log,official_eval
agent_param_error,132,1,fault,log,2,action,1,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task132_seed1/132/agent_param_error_seed_1/official_eval.json
agent_param_error,132,2,fault,log,3,action,2,click,3,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task132_seed2/132/agent_param_error_seed_2/official_eval.json
agent_param_error,132,3,fault,log,2,action,3,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task132_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task132_seed3/132/agent_param_error_seed_3/official_eval.json
agent_param_error,27,1,fault,log,2,action,1,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task27_seed1/27/agent_param_error_seed_1/official_eval.json
agent_param_error,27,2,fault,log,2,action,2,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task27_seed2/27/agent_param_error_seed_2/official_eval.json
agent_param_error,27,3,fault,log,2,action,3,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task27_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task27_seed3/27/agent_param_error_seed_3/official_eval.json
agent_param_error,30,1,fault,log,2,action,1,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task30_seed1/30/agent_param_error_seed_1/official_eval.json
agent_param_error,30,2,fault,log,2,action,2,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task30_seed2/30/agent_param_error_seed_2/official_eval.json
agent_param_error,30,3,fault,log,2,action,3,goto,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/agent_param_error_task30_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/agent_param_error_task30_seed3/30/agent_param_error_seed_3/official_eval.json
web_dom_missing,132,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task132_seed1/132/web_dom_missing_seed_1/official_eval.json
web_dom_missing,132,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task132_seed2/132/web_dom_missing_seed_2/official_eval.json
web_dom_missing,132,3,fault,log,2,observation,3,click,2,True,False,False,True,,False,False,False,failure,False,fault_detected;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed3.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task132_seed3.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task132_seed3/132/web_dom_missing_seed_3/official_eval.json
web_dom_missing,27,1,fault,log,2,observation,1,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed1.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed1.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed1/27/web_dom_missing_seed_1/official_eval.json
web_dom_missing,27,2,fault,log,2,observation,2,click,2,True,False,False,True,,False,False,True,success,True,recovered;observation_refreshed;alternative_action_selected,1,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed2.status.json,experiments/formal_gpt54_react_faults_official_subset_v1/web_dom_missing_task27_seed2.log,experiments/formal_gpt54_react_faults_official_subset_v1/outputs/web_dom_missing_task27_seed2/27/web_dom_missing_seed_2/official_eval.json
