fault_type,condition,trials,completed,task_errors,infrastructure_errors,valid_fault_injections,official_successes,official_success_rate,mean_steps,mean_llm_calls,mean_time_sec
agent_param_error,control,9,9,0,0,0,9,1.0,4.777777777777778,4.777777777777778,65.34444444444445
agent_param_error,fault,9,9,0,0,9,8,0.8888888888888888,6.888888888888889,6.888888888888889,83.23333333333332
web_dom_missing,control,9,9,0,0,0,8,0.8888888888888888,5.111111111111111,5.111111111111111,69.8777777777778
web_dom_missing,fault,9,9,0,0,9,7,0.7777777777777778,5.111111111111111,5.111111111111111,60.62222222222223
web_http_error,control,9,9,0,0,0,8,0.8888888888888888,5.555555555555555,5.555555555555555,70.6
web_http_error,fault,9,9,0,0,9,6,0.6666666666666666,6.666666666666667,6.666666666666667,86.82222222222224
web_popup_block,control,9,9,0,0,0,8,0.8888888888888888,5.333333333333333,5.333333333333333,73.77777777777779
web_popup_block,fault,9,9,0,0,9,8,0.8888888888888888,4.666666666666667,4.666666666666667,65.08888888888889
web_timeout,control,9,9,0,0,0,8,0.8888888888888888,4.777777777777778,4.777777777777778,58.5
web_timeout,fault,9,9,0,0,9,7,0.7777777777777778,5.222222222222222,5.222222222222222,69.16666666666669
