fault_type,task_id,seed,control_success,fault_success,success_delta,control_completed,fault_completed,control_steps,fault_steps,step_delta,control_time_sec,fault_time_sec,time_delta,fault_injection_count
web_dom_missing,21,1,,,,True,True,3.0,6.0,3.0,25.1,176.0,150.9,1
web_dom_missing,21,2,,,,True,True,3.0,3.0,0.0,26.8,124.2,97.4,1
web_dom_missing,21,3,,,,True,True,3.0,3.0,0.0,31.7,191.1,159.4,1
web_dom_missing,21,4,,,,True,True,3.0,4.0,1.0,23.3,51.7,28.400000000000002,1
web_dom_missing,21,5,,,,True,True,3.0,2.0,-1.0,28.5,21.6,-6.899999999999999,1
web_dom_missing,22,1,,,,True,True,14.0,13.0,-1.0,559.3,306.5,-252.79999999999995,1
web_dom_missing,22,2,,,,True,True,12.0,15.0,3.0,429.1,369.9,-59.200000000000045,1
web_dom_missing,22,3,,,,True,True,13.0,13.0,0.0,422.9,363.7,-59.19999999999999,1
web_dom_missing,22,4,,,,True,True,9.0,14.0,5.0,344.9,436.3,91.40000000000003,1
web_dom_missing,22,5,,,,True,True,14.0,11.0,-3.0,313.7,144.7,-169.0,1
web_dom_missing,23,1,,,,True,True,4.0,2.0,-2.0,39.3,77.7,38.400000000000006,1
web_dom_missing,23,2,,,,True,True,2.0,2.0,0.0,21.1,55.3,34.199999999999996,1
web_dom_missing,23,3,,,,True,True,2.0,4.0,2.0,36.9,60.7,23.800000000000004,1
web_dom_missing,23,4,,,,True,True,2.0,2.0,0.0,25.2,25.2,0.0,1
web_dom_missing,23,5,,,,True,True,3.0,3.0,0.0,28.8,30.5,1.6999999999999993,1
web_dom_missing,24,1,,,,True,True,3.0,3.0,0.0,29.9,54.0,24.1,1
web_dom_missing,24,2,,,,True,True,4.0,3.0,-1.0,24.4,29.6,5.200000000000003,1
web_dom_missing,24,3,,,,True,True,3.0,4.0,1.0,25.1,58.5,33.4,1
web_dom_missing,24,4,,,,True,True,4.0,3.0,-1.0,22.1,24.0,1.8999999999999986,1
web_dom_missing,24,5,,,,True,True,3.0,3.0,0.0,17.9,21.2,3.3000000000000007,1
web_dom_missing,25,1,,,,True,True,9.0,14.0,5.0,127.9,413.2,285.29999999999995,1
web_dom_missing,25,2,,,,True,True,7.0,8.0,1.0,103.4,75.6,-27.80000000000001,1
web_dom_missing,25,3,,,,True,True,7.0,9.0,2.0,70.4,97.0,26.599999999999994,1
web_dom_missing,25,4,,,,True,True,9.0,11.0,2.0,226.8,119.2,-107.60000000000001,1
web_dom_missing,25,5,,,,True,True,11.0,10.0,-1.0,103.5,107.9,4.400000000000006,1
web_dom_missing,26,1,,,,True,True,14.0,9.0,-5.0,211.7,94.7,-116.99999999999999,1
web_dom_missing,26,2,,,,True,True,20.0,15.0,-5.0,357.9,252.7,-105.19999999999999,1
web_dom_missing,26,3,,,,True,True,11.0,7.0,-4.0,123.2,78.4,-44.8,1
web_dom_missing,26,4,,,,True,True,20.0,12.0,-8.0,317.5,413.4,95.89999999999998,1
web_dom_missing,26,5,,,,True,True,13.0,20.0,7.0,277.2,865.9,588.7,1
web_dom_missing,27,1,,,,True,True,6.0,5.0,-1.0,54.2,31.4,-22.800000000000004,1
web_dom_missing,27,2,,,,True,True,6.0,5.0,-1.0,160.3,213.5,53.19999999999999,1
web_dom_missing,27,3,,,,True,True,6.0,5.0,-1.0,225.1,35.6,-189.5,1
web_dom_missing,27,4,,,,True,True,5.0,5.0,0.0,43.8,61.1,17.300000000000004,1
web_dom_missing,27,5,,,,True,True,5.0,5.0,0.0,135.2,156.0,20.80000000000001,1
web_dom_missing,28,1,,,,True,True,7.0,10.0,3.0,459.0,46.0,-413.0,1
web_dom_missing,28,2,,,,True,True,7.0,7.0,0.0,460.0,35.2,-424.8,1
web_dom_missing,28,3,,,,True,True,7.0,10.0,3.0,459.2,48.5,-410.7,1
web_dom_missing,28,4,,,,True,True,7.0,7.0,0.0,461.6,42.0,-419.6,1
web_dom_missing,28,5,,,,True,True,7.0,8.0,1.0,50.6,288.7,238.1,1
web_dom_missing,29,1,,,,True,True,8.0,8.0,0.0,567.7,38.9,-528.8000000000001,1
web_dom_missing,29,2,,,,True,True,6.0,6.0,0.0,680.2,35.2,-645.0,1
web_dom_missing,29,3,,,,True,True,7.0,6.0,-1.0,563.1,27.9,-535.2,1
web_dom_missing,29,4,,,,True,True,8.0,8.0,0.0,287.6,46.0,-241.60000000000002,1
web_dom_missing,29,5,,,,True,True,6.0,7.0,1.0,31.1,35.4,4.299999999999997,1
web_dom_missing,30,1,,,,True,True,5.0,5.0,0.0,29.2,150.2,120.99999999999999,1
web_dom_missing,30,2,,,,True,True,5.0,8.0,3.0,25.4,132.9,107.5,1
web_dom_missing,30,3,,,,True,True,6.0,5.0,-1.0,41.0,30.4,-10.600000000000001,1
web_dom_missing,30,4,,,,True,True,5.0,5.0,0.0,28.8,101.5,72.7,1
web_dom_missing,30,5,,,,True,True,5.0,6.0,1.0,24.6,92.6,68.0,1
web_dom_missing,31,1,,,,True,True,6.0,5.0,-1.0,455.0,26.1,-428.9,1
web_dom_missing,31,2,,,,True,True,15.0,6.0,-9.0,447.3,31.1,-416.2,1
