subset,fault,n_pairs,a_both_pass,b_control_only,c_fault_only,d_both_fail,control_rate_paired,fault_rate_paired,control_rate_marginal_native,fault_rate_marginal_native,delta_pp,boot_lo_pp,boot_hi_pp,boot_env_lo_pp,boot_env_hi_pp,p_exact,p_midp,or_haldane,retention
pooled,web_dom_missing,40,19,8,7,6,0.6750,0.6500,0.8438,0.7879,-2.50,-22.50,17.50,-22.50,17.50,1.0000,0.8036,0.882,0.963
pooled,web_popup_block,40,18,5,6,11,0.5750,0.6000,0.6970,0.7742,2.50,-12.50,17.50,-15.00,20.00,1.0000,0.7744,1.182,1.043
pooled,web_http_error,40,18,5,7,10,0.5750,0.6250,0.7188,0.7353,5.00,-12.50,22.50,-12.50,22.50,0.7744,0.5811,1.364,1.087
pooled,web_timeout,40,23,3,3,11,0.6500,0.6500,0.7879,0.8125,0.00,-12.50,12.50,-12.50,12.50,1.0000,1.0000,1.000,1.000
pooled,agent_param_error,40,24,7,1,8,0.7750,0.6250,0.9394,0.8065,-15.00,-27.50,-2.50,-27.50,-2.50,0.0703,0.0391,0.200,0.806
native_only,web_dom_missing,30,19,6,4,1,0.8333,0.7667,0.8438,0.7879,-6.67,-26.67,13.33,-26.67,13.33,0.7539,0.5488,0.692,0.920
native_only,web_popup_block,31,18,3,6,4,0.6774,0.7742,0.6970,0.7742,9.68,-9.68,29.03,-9.68,29.03,0.5078,0.3438,1.857,1.143
native_only,web_http_error,31,18,4,4,5,0.7097,0.7097,0.7188,0.7353,0.00,-19.35,16.13,-19.35,19.35,1.0000,1.0000,1.000,1.000
native_only,web_timeout,31,23,1,2,5,0.7742,0.8065,0.7879,0.8125,3.23,-6.45,12.90,-6.45,16.13,1.0000,0.6250,1.667,1.042
native_only,agent_param_error,31,24,5,1,1,0.9355,0.8065,0.9394,0.8065,-12.90,-29.03,0.00,-29.03,3.23,0.2188,0.1250,0.273,0.862
