source,fault_type,task_id,seed,condition,status,reason
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,1,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,1,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,2,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,2,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,3,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,132,3,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,1,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,1,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,2,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,2,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,3,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,27,3,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,30,1,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,30,1,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,30,2,fault,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,30,2,control,rebuildable,final answer recovered from log
experiments/formal_gpt54_react_faults_official_subset_v1/outputs,agent_param_error,30,3,fault,rebuildable,final answer recovered from log
