condition,fault_type,task_id,seed,react_success,plan_execute_success,success_delta_plan_minus_react
control,control,22,1,False,False,0
control,control,22,2,False,False,0
control,control,22,3,True,False,-1
control,control,22,4,True,False,-1
control,control,22,5,False,True,1
control,control,24,1,True,True,0
control,control,24,2,False,True,1
control,control,24,3,True,True,0
control,control,24,4,True,True,0
control,control,24,5,True,True,0
control,control,27,1,True,False,-1
control,control,27,2,True,False,-1
control,control,27,3,True,False,-1
control,control,27,4,True,True,0
control,control,27,5,True,False,-1
control,control,28,1,True,False,-1
control,control,28,2,True,False,-1
control,control,28,3,True,False,-1
control,control,28,4,True,False,-1
control,control,28,5,True,False,-1
control,control,30,1,False,True,1
control,control,30,2,False,False,0
control,control,30,3,False,True,1
control,control,30,4,True,False,-1
control,control,30,5,True,False,-1
control,control,132,1,False,True,1
control,control,132,2,True,True,0
control,control,132,3,False,False,0
control,control,132,4,True,False,-1
control,control,132,5,True,False,-1
control,control,133,1,False,False,0
control,control,133,2,False,False,0
control,control,133,3,True,False,-1
control,control,133,4,True,False,-1
control,control,133,5,True,False,-1
control,control,134,1,True,False,-1
control,control,134,2,True,False,-1
control,control,134,3,True,False,-1
control,control,134,4,False,False,0
control,control,134,5,True,False,-1
fault,web_dom_missing,22,1,False,False,0
fault,web_dom_missing,22,2,False,True,1
fault,web_dom_missing,22,3,False,False,0
fault,web_dom_missing,22,4,False,False,0
fault,web_dom_missing,22,5,False,False,0
fault,web_dom_missing,24,1,False,False,0
fault,web_dom_missing,24,2,True,False,-1
fault,web_dom_missing,24,3,True,True,0
fault,web_dom_missing,24,4,True,True,0
fault,web_dom_missing,24,5,True,True,0
fault,web_dom_missing,27,1,True,False,-1
fault,web_dom_missing,27,2,True,True,0
fault,web_dom_missing,27,3,True,False,-1
fault,web_dom_missing,27,4,True,True,0
fault,web_dom_missing,27,5,True,False,-1
fault,web_dom_missing,28,1,True,False,-1
fault,web_dom_missing,28,2,True,False,-1
fault,web_dom_missing,28,3,True,False,-1
fault,web_dom_missing,28,4,True,False,-1
fault,web_dom_missing,28,5,True,False,-1
fault,web_dom_missing,30,1,False,False,0
fault,web_dom_missing,30,2,False,True,1
fault,web_dom_missing,30,3,False,False,0
fault,web_dom_missing,30,4,True,False,-1
fault,web_dom_missing,30,5,True,True,0
fault,web_dom_missing,132,1,False,False,0
fault,web_dom_missing,132,2,True,False,-1
fault,web_dom_missing,132,3,False,False,0
fault,web_dom_missing,132,4,True,True,0
fault,web_dom_missing,132,5,True,True,0
fault,web_dom_missing,133,1,True,False,-1
fault,web_dom_missing,133,2,True,False,-1
fault,web_dom_missing,133,3,True,False,-1
fault,web_dom_missing,133,4,True,False,-1
fault,web_dom_missing,133,5,True,False,-1
fault,web_dom_missing,134,1,False,True,1
fault,web_dom_missing,134,2,False,False,0
fault,web_dom_missing,134,3,True,True,0
fault,web_dom_missing,134,4,True,True,0
fault,web_dom_missing,134,5,False,True,1
fault,web_http_error,22,1,False,True,1
fault,web_http_error,22,2,False,True,1
fault,web_http_error,22,3,False,False,0
fault,web_http_error,22,4,True,False,-1
fault,web_http_error,22,5,False,True,1
fault,web_http_error,24,1,True,False,-1
fault,web_http_error,24,2,False,True,1
fault,web_http_error,24,3,False,True,1
fault,web_http_error,24,4,True,False,-1
fault,web_http_error,24,5,False,False,0
fault,web_http_error,27,1,True,False,-1
fault,web_http_error,27,2,True,False,-1
fault,web_http_error,27,3,True,False,-1
fault,web_http_error,27,4,True,False,-1
fault,web_http_error,27,5,True,True,0
fault,web_http_error,28,1,False,False,0
fault,web_http_error,28,2,True,False,-1
fault,web_http_error,28,3,True,False,-1
fault,web_http_error,28,4,True,True,0
fault,web_http_error,28,5,True,False,-1
fault,web_http_error,30,1,False,False,0
fault,web_http_error,30,2,False,False,0
fault,web_http_error,30,3,False,False,0
fault,web_http_error,30,4,True,True,0
fault,web_http_error,30,5,True,True,0
fault,web_http_error,132,1,False,False,0
fault,web_http_error,132,2,False,False,0
fault,web_http_error,132,3,True,False,-1
fault,web_http_error,132,4,False,True,1
fault,web_http_error,132,5,True,False,-1
fault,web_http_error,133,1,False,False,0
fault,web_http_error,133,2,False,False,0
fault,web_http_error,133,3,False,False,0
fault,web_http_error,133,4,True,False,-1
fault,web_http_error,133,5,False,False,0
fault,web_http_error,134,1,True,False,-1
fault,web_http_error,134,2,True,False,-1
fault,web_http_error,134,3,True,False,-1
fault,web_http_error,134,4,True,False,-1
fault,web_http_error,134,5,True,False,-1
